Season,Tier,Average Home Goals,Average Away Goals,Average Total Goals,Difference
1998,3,1.393115942,1.067028986,2.460144928,0.326086957
1999,3,1.394927536,1.148550725,2.543478261,0.246376812
2000,3,1.525362319,1.130434783,2.655797101,0.394927536
2001,3,1.576086957,1.09057971,2.666666667,0.485507246
2002,3,1.436594203,1.137681159,2.574275362,0.298913043
2003,3,1.559782609,1.085144928,2.644927536,0.474637681
2004,3,1.572463768,1.237318841,2.809782609,0.335144928
2005,3,1.427536232,1.079710145,2.507246377,0.347826087
2006,3,1.389492754,1.121376812,2.510869565,0.268115942
2007,3,1.382246377,1.036231884,2.418478261,0.346014493
2008,3,1.518115942,1.22826087,2.746376812,0.289855072
2009,3,1.536231884,1.106884058,2.643115942,0.429347826
2010,3,1.512681159,1.221014493,2.733695652,0.291666667
2011,3,1.476449275,1.221014493,2.697463768,0.255434783
2012,3,1.344202899,1.132246377,2.476449275,0.211956522
2013,3,1.463768116,1.204710145,2.668478261,0.259057971
1958,4,1.967391304,1.282608696,3.25,0.684782609
1959,4,1.989130435,1.152173913,3.141304348,0.836956522
1960,4,2.039855072,1.239130435,3.278985507,0.800724638
1961,4,2.083487941,1.19851577,3.282003711,0.884972171
1962,4,1.956521739,1.222826087,3.179347826,0.733695652
1963,4,1.856884058,1.097826087,2.954710145,0.759057971
1964,4,2.092391304,1.204710145,3.297101449,0.887681159
1965,4,1.96557971,1.155797101,3.121376812,0.809782609
1966,4,1.661231884,1.05615942,2.717391304,0.605072464
1967,4,1.648550725,1.041666667,2.690217391,0.606884058
1968,4,1.543478261,0.942028986,2.485507246,0.601449275
1969,4,1.742753623,0.90942029,2.652173913,0.833333333
1970,4,1.730072464,1.036231884,2.766304348,0.69384058
1971,4,1.730072464,0.980072464,2.710144928,0.75
1972,4,1.530797101,0.90942029,2.440217391,0.621376812
1973,4,1.613430127,0.858439201,2.471869328,0.754990926
1974,4,1.599637681,0.949275362,2.548913043,0.650362319
1975,4,1.64673913,0.96557971,2.612318841,0.68115942
1976,4,1.670289855,0.907608696,2.577898551,0.762681159
1977,4,1.619565217,0.96557971,2.585144928,0.653985507
1978,4,1.543478261,1.009057971,2.552536232,0.53442029
1979,4,1.626811594,1.018115942,2.644927536,0.608695652
1980,4,1.559782609,0.911231884,2.471014493,0.648550725
1981,4,1.608695652,1.130434783,2.739130435,0.47826087
1982,4,1.657608696,1.063405797,2.721014493,0.594202899
1983,4,1.688405797,1.038043478,2.726449275,0.650362319
1984,4,1.601449275,1.076086957,2.677536232,0.525362319
1985,4,1.731884058,1.123188406,2.855072464,0.608695652
1986,4,1.528985507,1.108695652,2.637681159,0.420289855
1987,4,1.503623188,1.039855072,2.543478261,0.463768116
1988,4,1.628623188,1.085144928,2.713768116,0.543478261
1989,4,1.523550725,1.059782609,2.583333333,0.463768116
1990,4,1.572463768,0.990942029,2.563405797,0.581521739
1991,4,1.573593074,1.125541126,2.699134199,0.448051948
1992,4,1.601731602,1.235930736,2.837662338,0.365800866
1993,4,1.525974026,1.212121212,2.738095238,0.313852814
1994,4,1.525974026,1.134199134,2.66017316,0.391774892
1995,4,1.414855072,1.023550725,2.438405797,0.391304348
1996,4,1.461956522,1.043478261,2.505434783,0.418478261
1997,4,1.552536232,1.039855072,2.592391304,0.512681159
1998,4,1.451086957,1.076086957,2.527173913,0.375
1999,4,1.351449275,1.009057971,2.360507246,0.342391304
2000,4,1.527173913,1.003623188,2.530797101,0.523550725
2001,4,1.530797101,1,2.530797101,0.530797101
2002,4,1.454710145,1.115942029,2.570652174,0.338768116
2003,4,1.46557971,1.067028986,2.532608696,0.398550725
2004,4,1.416666667,1.023550725,2.440217391,0.393115942
2005,4,1.416666667,1.105072464,2.52173913,0.311594203
2006,4,1.402173913,1.083333333,2.485507246,0.31884058
2007,4,1.349637681,1.235507246,2.585144928,0.114130435
2008,4,1.405797101,1.083333333,2.489130435,0.322463768
2009,4,1.47826087,1.141304348,2.619565217,0.336956522
2010,4,1.485507246,1.242753623,2.72826087,0.242753623
2011,4,1.467391304,1.173913043,2.641304348,0.293478261
2012,4,1.411231884,1.152173913,2.563405797,0.259057971
2013,4,1.242753623,1.096014493,2.338768116,0.14673913
