,Team,Opponent,Year,Goals,OppGoals,Rating,OppRating,Rd,OppRd,HF,HomeAway,RatingDif,EffRd,RatingDifRat,EffHf
1783,West Bromwich Albion,Queens Park Rangers,2011,1,1,1725.3397461082557,1682.6341879894978,55.03828630881091,52.33921777261898,55.811570565756185,-1,42.705558118757835,75.95134414123477,0.562275211869128,-55.811570565756185
1784,Blackburn Rovers,Swansea City,2011,4,2,1692.0671504822542,1671.29841056716,54.44565490835238,53.05585213338755,55.811570565756185,1,20.768739915094102,76.02139688271507,0.27319597858923683,55.811570565756185
1785,Swansea City,Blackburn Rovers,2011,2,4,1671.29841056716,1692.0671504822542,53.05585213338755,54.44565490835238,55.811570565756185,-1,-20.768739915094102,76.02139688271507,-0.27319597858923683,-55.811570565756185
1786,Manchester City,Norwich City,2011,5,1,1931.364181591553,1680.627227494497,54.42867105833355,52.50771306370436,55.811570565756185,1,250.736954097056,75.62764153638923,3.315414166081202,55.811570565756185
1787,Norwich City,Manchester City,2011,1,5,1680.627227494497,1931.364181591553,52.50771306370436,54.42867105833355,55.811570565756185,-1,-250.736954097056,75.62764153638923,-3.315414166081202,-55.811570565756185
1788,Aston Villa,Manchester United,2011,0,1,1783.2136843760468,2006.9406141122943,56.536001340685274,57.23728968220206,55.811570565756185,1,-223.72692973624748,80.45139388325278,-2.780895630732133,55.811570565756185
1789,Manchester United,Aston Villa,2011,1,0,2006.9406141122943,1783.2136843760468,57.23728968220206,56.536001340685274,55.811570565756185,-1,223.72692973624748,80.45139388325278,2.780895630732133,-55.811570565756185
1790,Wigan Athletic,Arsenal,2011,0,4,1670.1453893902794,1893.1860728702686,53.721854386953275,55.18515322740428,55.811570565756185,1,-223.04068347998918,77.01583457643694,-2.8960367008504595,55.811570565756185
1791,Arsenal,Wigan Athletic,2011,4,0,1893.1860728702686,1670.1453893902794,55.18515322740428,53.721854386953275,55.811570565756185,-1,223.04068347998918,77.01583457643694,2.8960367008504595,-55.811570565756185
1792,Wolverhampton Wanderers,Sunderland,2011,2,1,1673.546462242172,1704.3137700980876,53.916254905832666,58.552346813992614,55.811570565756185,1,-30.767307855915533,79.59484820323986,-0.38654898590111475,55.811570565756185
1793,Sunderland,Wolverhampton Wanderers,2011,1,2,1704.3137700980876,1673.546462242172,58.552346813992614,53.916254905832666,55.811570565756185,-1,30.767307855915533,79.59484820323986,0.38654898590111475,-55.811570565756185
1794,Everton,Stoke City,2011,0,1,1810.5641558240725,1723.3908077084895,53.986018729618806,53.14292087131329,55.811570565756185,1,87.17334811558294,75.75394548806959,1.1507433382372378,55.811570565756185
1795,Stoke City,Everton,2011,1,0,1723.3908077084895,1810.5641558240725,53.14292087131329,53.986018729618806,55.811570565756185,-1,-87.17334811558294,75.75394548806959,-1.1507433382372378,-55.811570565756185
1796,Fulham,Liverpool,2011,1,0,1739.024040665201,1870.8923371348608,56.106322322105015,56.070609506491564,55.811570565756185,1,-131.86829646965975,79.32107320845704,-1.6624623335983841,55.811570565756185
1797,Liverpool,Fulham,2011,0,1,1870.8923371348608,1739.024040665201,56.070609506491564,56.106322322105015,55.811570565756185,-1,131.86829646965975,79.32107320845704,1.6624623335983841,-55.811570565756185
1798,Swansea City,Fulham,2011,2,0,1665.1547448844735,1749.582773459936,52.559470439588566,55.50527668249087,56.39852566629964,1,-84.42802857546258,76.44170113550489,-1.1044760558873576,56.39852566629964
1799,Fulham,Swansea City,2011,0,2,1749.582773459936,1665.1547448844735,55.50527668249087,52.559470439588566,56.39852566629964,-1,84.42802857546258,76.44170113550489,1.1044760558873576,-56.39852566629964
1800,Liverpool,Queens Park Rangers,2011,1,0,1860.3469574102828,1682.3519103144142,55.470882379425674,51.84167600092019,56.39852566629964,1,177.99504709586859,75.92481914720945,2.3443591844553064,56.39852566629964
1801,Queens Park Rangers,Liverpool,2011,0,1,1682.3519103144142,1860.3469574102828,51.84167600092019,55.470882379425674,56.39852566629964,-1,-177.99504709586859,75.92481914720945,-2.3443591844553064,-56.39852566629964
1802,Arsenal,Everton,2011,1,0,1897.9158943773346,1799.3331152048934,54.713695912027134,53.520657143198775,56.39852566629964,1,98.58277917244118,76.53789428377037,1.2880257563258486,56.39852566629964
1803,Everton,Arsenal,2011,0,1,1799.3331152048934,1897.9158943773346,53.520657143198775,54.713695912027134,56.39852566629964,-1,-98.58277917244118,76.53789428377037,-1.2880257563258486,-56.39852566629964
1804,Manchester United,Wolverhampton Wanderers,2011,4,1,2012.005076662837,1681.0174982524625,56.70451881453251,53.36918100883841,56.39852566629964,1,330.98757841037445,77.86958286482489,4.250537452922296,56.39852566629964
1805,Wolverhampton Wanderers,Manchester United,2011,1,4,1681.0174982524625,2012.005076662837,53.36918100883841,56.70451881453251,56.39852566629964,-1,-330.98757841037445,77.86958286482489,-4.250537452922296,-56.39852566629964
1806,Norwich City,Newcastle United,2011,4,2,1678.3159221091285,1810.0146298816644,52.282192341625,53.8403027167133,56.39852566629964,1,-131.69870777253595,75.04802350944358,-1.7548591103930111,56.39852566629964
1807,Newcastle United,Norwich City,2011,2,4,1810.0146298816644,1678.3159221091285,53.8403027167133,52.282192341625,56.39852566629964,-1,131.69870777253595,75.04802350944358,1.7548591103930111,-56.39852566629964
1808,West Bromwich Albion,Wigan Athletic,2011,1,2,1725.6520421531445,1665.6595370276573,54.44456446408297,53.29391218383829,56.39852566629964,1,59.99250512548724,76.1869521344853,0.787438051329162,56.39852566629964
1809,Wigan Athletic,West Bromwich Albion,2011,2,1,1665.6595370276573,1725.6520421531445,53.29391218383829,54.44456446408297,56.39852566629964,-1,-59.99250512548724,76.1869521344853,-0.787438051329162,-56.39852566629964
1810,Bolton Wanderers,Aston Villa,2011,1,2,1676.4204050335738,1778.2706141777799,53.504189072222516,56.02574379924361,56.39852566629964,1,-101.85020914420602,77.4698794147417,-1.314707211546595,56.39852566629964
1811,Aston Villa,Bolton Wanderers,2011,2,1,1778.2706141777799,1676.4204050335738,56.02574379924361,53.504189072222516,56.39852566629964,-1,101.85020914420602,77.4698794147417,1.314707211546595,-56.39852566629964
1812,Stoke City,Tottenham Hotspur,2011,2,1,1734.2745545598914,1895.462053401509,52.70326376244371,53.66545609675343,56.39852566629964,1,-161.18749884161753,75.21712032035181,-2.142962907315721,56.39852566629964
1813,Tottenham Hotspur,Stoke City,2011,1,2,1895.462053401509,1734.2745545598914,53.66545609675343,52.70326376244371,56.39852566629964,-1,161.18749884161753,75.21712032035181,2.142962907315721,-56.39852566629964
