Club,Manager,From,To,Tenure (days),Gap (days),Caretaker?,Exclude?,Data concern?,Comments
Scarborough,Mitch Cook,30/03/1996,2/8/96,125,0,Y,Y,,Amended based on http://www.thefreelibrary.com/Cook+has+survival+recipe.-a061176571
Scarborough,Mick Wadsworth,2/8/96,28/01/1999,909,0,,,,
Scarborough,Ray McHale,28/01/1999,23/02/1999,26,0,Y,Y,,
Scarborough,Colin Addison,23/02/1999,1/10/00,586,0,,,,Not in top 4 divisions - no need to be current
Scunthorpe,Fred Goodwin,1/12/64,1/10/67,1034,,,,Y,
Scunthorpe,Ron Ashman,1/10/67,24/06/1973,2093,0,,,,
Scunthorpe,Ron Bradley,30/06/1973,7/11/74,495,6,,,,
Scunthorpe,Dick Roots,7/11/74,12/1/76,431,0,,,,
Scunthorpe,Ron Ashman,15/01/1976,31/05/1981,1963,3,,,,
Scunthorpe,John Duncan,1/6/81,2/2/83,611,1,,,,
Scunthorpe,Allan Clarke,2/2/83,24/08/1984,569,0,,,,
Scunthorpe,Frank Barlow,28/08/1984,31/03/1987,945,4,,,,
Scunthorpe,Mick Buxton,15/04/1987,31/01/1991,1387,15,,,,
Scunthorpe,Bill Green,1/2/91,3/1/93,702,1,,,,
Scunthorpe,Richard Money,6/1/93,31/07/1994,571,3,,,,
Scunthorpe,David Moore,1/8/94,31/07/1996,730,1,,,,
Scunthorpe,Mick Buxton,1/8/96,19/02/1997,202,1,,,,
Scunthorpe,Brian Laws,24/02/1997,25/03/2004,2586,5,,,,
Scunthorpe,Russ Wilcox,25/03/2004,15/04/2004,21,0,Y,Y,,Took temporary control between Laws' sacking and reinstatement
Scunthorpe,Brian Laws,15/04/2004,6/11/06,935,0,,,,
Scunthorpe,Nigel Adkins,6/11/06,12/9/10,1406,0,,,,
Scunthorpe,Ian Baraclough,12/9/10,16/03/2011,185,0,,,,
Scunthorpe,Alan Knill,31/03/2011,29/10/2012,578,15,,,,
Scunthorpe,Brian Laws,29/10/2012,20/11/2013,387,0,,,,
Scunthorpe,Russell Wilcox,24/12/2013,8/10/14,288,34,,,,
Scunthorpe,Mark Robins,13/10/2014,19/02/2019,1590,5,,,,
Sheff Utd,John Harris,1/4/59,1/7/68,3379,,,,Y,
Sheff Utd,Arthur Rowley,1/7/68,1/8/69,396,0,,,Y,
Sheff Utd,John Harris,1/8/69,5/12/73,1587,0,,,,
Sheff Utd,Ken Furphy,5/12/73,6/10/75,670,0,,,,
Sheff Utd,Jimmy Sirrel,15/10/1975,27/09/1977,713,9,,,,
Sheff Utd,Cec Coldwell,27/09/1977,26/01/1978,121,0,,,,
Sheff Utd,Harry Haslam,26/01/1978,16/01/1981,1086,0,,,,
Sheff Utd,Martin Peters,18/01/1981,30/05/1981,132,2,,,,
Sheff Utd,Ian Porterfield,6/6/81,27/03/1986,1755,7,,,,
Sheff Utd,Billy McEwan,27/03/1986,2/1/88,646,0,,,,
Sheff Utd,Dave Bassett,21/01/1988,12/12/95,2882,19,,,,
Sheff Utd,Howard Kendall,12/12/95,27/06/1997,563,0,,,,
Sheff Utd,Nigel Spackman,27/06/1997,2/3/98,248,0,,,,
Sheff Utd,Russell Slade,2/3/98,9/3/98,7,0,Y,Y,,
Sheff Utd,Steve Thompson,9/3/98,2/7/98,115,0,,,,
Sheff Utd,Steve Bruce,2/7/98,17/05/1999,319,0,,,,
Sheff Utd,Adrian Heath,15/06/1999,23/11/1999,161,29,,,,
Sheff Utd,Russell Slade,23/11/1999,2/12/99,9,0,Y,Y,,
Sheff Utd,Neil Warnock,2/12/99,16/05/2007,2722,0,,,,
Sheff Utd,Bryan Robson,22/05/2007,14/02/2008,268,6,,,,
Sheff Utd,Kevin Blackwell,14/02/2008,14/08/2010,912,0,,,,
Sheff Utd,Gary Speed,17/08/2010,14/12/2010,119,3,,,,
Sheff Utd,John Carver,15/12/2010,30/12/2010,15,1,Y,Y,,
Sheff Utd,Micky Adams,30/12/2010,12/5/11,133,0,,,,
Sheff Utd,Danny Wilson,27/05/2011,10/4/13,684,15,,,,
Sheff Utd,Chris Morgan,10/4/13,10/6/13,61,0,Y,Y,,
Sheff Utd,David Weir,10/6/13,11/10/13,123,0,,,,
Sheff Utd,Chris Morgan,11/10/13,23/10/2013,12,0,Y,Y,,
Sheff Utd,Nigel Clough,23/10/2013,25/05/2015,579,0,,,,
Sheff Utd,Nigel Adkins,2/6/15,19/02/2019,1358,8,,,,
Sheff Wed,Alan Brown,1/8/64,1/2/68,1279,,,,Y,
Sheff Wed,Jack Marshall,1/2/68,1/4/69,425,0,,,Y,
Sheff Wed,Danny Williams,1/7/69,1/1/71,549,91,,,Y,
Sheff Wed,Derek Dooley,1/1/71,24/12/1973,1088,0,,,,
Sheff Wed,Steve Burtenshaw,29/01/1974,1/10/75,610,36,,,,
Sheff Wed,Len Ashurst,15/10/1975,5/10/77,721,14,,,,
Sheff Wed,Jack Charlton,8/10/77,27/05/1983,2057,3,,,,
Sheff Wed,Maurice Setters,27/05/1983,24/06/1983,28,0,Y,Y,,
Sheff Wed,Howard Wilkinson,24/06/1983,10/10/88,1935,0,,,,
Sheff Wed,Peter Eustace,28/10/1988,14/02/1989,109,18,,,,
Sheff Wed,Ron Atkinson,14/02/1989,6/6/91,842,0,,,,
Sheff Wed,Trevor Francis,17/06/1991,20/05/1995,1433,11,,,,
Sheff Wed,David Pleat,14/06/1995,3/11/97,873,25,,,,
Sheff Wed,Ron Atkinson,14/11/1997,17/05/1998,184,11,,,,
Sheff Wed,Danny Wilson,6/7/98,21/03/2000,624,50,,,,
Sheff Wed,Peter Shreeves,21/03/2000,21/06/2000,92,0,Y,N,,Caretaker but for a prolonged period
Sheff Wed,Paul Jewell,21/06/2000,12/2/01,236,0,,,,
Sheff Wed,Peter Shreeves,12/2/01,17/10/2001,247,0,,,,
Sheff Wed,Terry Yorath,17/10/2001,31/10/2002,379,0,,,,
Sheff Wed,Bill Green,1/11/02,7/11/02,6,1,Y,Y,,
Sheff Wed,Chris Turner,7/11/02,19/09/2004,682,0,,,,
Sheff Wed,Paul Sturrock,23/09/2004,19/10/2006,756,4,,,,
Sheff Wed,Sean McAuley,19/10/2006,6/11/06,18,0,Y,Y,,
Sheff Wed,Brian Laws,6/11/06,13/12/2009,1133,0,,,,
Sheff Wed,Alan Irvine,8/1/10,3/2/11,391,26,,,,
Sheff Wed,Gary Megson,4/2/11,29/02/2012,390,1,,,,
Sheff Wed,Dave Jones,1/3/12,1/12/13,640,1,,,,
Sheff Wed,Stuart Gray,1/12/13,11/6/15,557,0,,,,
Sheff Wed,Carlos Carvalhal,30/06/2015,19/02/2019,1330,19,,,,
Shrewsbury,Arthur Rowley,1/6/58,1/7/68,3683,,,,Y,
Shrewsbury,Harry Gregg,1/7/68,1/10/72,1553,0,,,Y,
Shrewsbury,Maurice Evans,2/11/72,1/2/74,456,32,,,Y,
Shrewsbury,Alan Durban,1/2/74,13/02/1978,1473,0,,,,
Shrewsbury,Richie Barker,20/02/1978,21/11/1978,274,7,,,,
Shrewsbury,Graham Turner,21/11/1978,1/7/84,2049,0,,,,
Shrewsbury,Chic Bates,23/07/1984,23/11/1987,1218,22,,,,
Shrewsbury,Ken Brown,1/12/87,9/12/87,8,8,Y,Y,,
Shrewsbury,Ian McNeill,9/12/87,5/1/90,758,0,,,,
Shrewsbury,Asa Hartford,5/1/90,17/01/1991,377,0,,,,
Shrewsbury,John Bond,17/01/1991,31/07/1993,926,0,,,,
Shrewsbury,Fred Davies,1/8/93,6/5/97,1374,1,,,,
Shrewsbury,Jake King,21/05/1997,8/11/99,901,15,,,,
Shrewsbury,Chic Bates,8/11/99,16/11/1999,8,0,Y,Y,,
Shrewsbury,Kevin Ratcliffe,16/11/1999,30/04/2003,1261,0,,,,
Shrewsbury,Mark Atkins,30/04/2003,27/05/2003,27,0,Y,Y,,
Shrewsbury,Jimmy Quinn,27/05/2003,22/10/2004,514,0,,,,
Shrewsbury,Chic Bates,22/10/2004,15/11/2004,24,0,Y,Y,,
Shrewsbury,Gary Peters,15/11/2004,3/3/08,1204,0,,,,
Shrewsbury,John McMahon,3/3/08,12/3/08,9,0,Y,Y,,
Shrewsbury,Paul Simpson,12/3/08,30/04/2010,779,0,,,,
Shrewsbury,Graham Turner,11/6/10,21/01/2014,1320,42,,,,
Shrewsbury,Michael Jackson,21/02/2014,3/5/14,71,31,,,,
Shrewsbury,Micky Mellon,12/5/14,19/02/2019,1744,9,,,,
Southampton,Ted Bates,1/9/55,18/11/1973,6653,,,,,
Southampton,Lawrie McMenemy,18/11/1973,1/6/85,4213,0,,,,
Southampton,Chris Nicholl,12/7/85,22/05/1991,2140,41,,,,
Southampton,Ian Branfoot,11/6/91,10/1/94,944,20,,,,
Southampton,Alan Ball,20/01/1994,2/7/95,528,10,,,,
Southampton,Lawrie McMenemy,2/7/95,14/07/1995,12,0,Y,Y,,
Southampton,Dave Merrington,14/07/1995,14/06/1996,336,0,,,,
Southampton,Graeme Souness,3/7/96,1/6/97,333,19,,,,
Southampton,Dave Jones,23/06/1997,27/01/2000,948,22,,,,
Southampton,Glenn Hoddle,28/01/2000,28/03/2001,425,1,,,,
Southampton,Stuart Gray,30/03/2001,21/10/2001,205,2,,,,
Southampton,Gordon Strachan,22/10/2001,13/02/2004,844,1,,,,
Southampton,Steve Wigley,13/02/2004,4/3/04,20,0,Y,Y,,
Southampton,Paul Sturrock,4/3/04,23/08/2004,172,0,,,,
Southampton,Steve Wigley,23/08/2004,8/12/04,107,0,,,,
Southampton,Harry Redknapp,8/12/04,2/12/05,359,0,,,,
Southampton,Dave Bassett,2/12/05,23/12/2005,21,0,Y,Y,,
Southampton,George Burley,23/12/2005,24/01/2008,762,0,,,,
Southampton,John Gorman,24/01/2008,18/02/2008,25,0,Y,Y,,
Southampton,Nigel Pearson,18/02/2008,29/05/2008,101,0,,,,
Southampton,Jan Poortvliet,29/05/2008,23/01/2009,239,0,,,,
Southampton,Mark Wotte,23/01/2009,9/7/09,167,0,,,,
Southampton,Alan Pardew,17/07/2009,30/08/2010,409,8,,,,
Southampton,Dean Wilkins,30/08/2010,12/9/10,13,0,Y,Y,,
Southampton,Nigel Adkins,12/9/10,18/01/2013,859,0,,,,
Southampton,Mauricio Pochettino,18/01/2013,27/05/2014,494,0,,,,
Southampton,Ronald Koeman,16/06/2014,19/02/2019,1709,20,,,,
Southend,Alvan Williams,1/5/65,31/03/1967,699,,,,Y,
Southend,Ernie Shepherd,1/4/67,1/10/69,914,1,,,Y,
Southend,Geoff Hudson,1/10/69,31/05/1970,242,0,,,Y,
Southend,Arthur Rowley,31/05/1970,9/5/76,2170,0,,,,
Southend,Dave Smith,9/5/76,20/07/1983,2628,0,,,,
Southend,Peter Morris,28/07/1983,14/02/1984,201,8,,,,
Southend,Bobby Moore,14/02/1984,25/04/1986,801,0,,,,
Southend,David Webb,17/06/1986,2/3/87,258,53,,,,
Southend,Dick Bate,30/06/1987,1/9/87,63,120,,,,
Southend,Paul Clark,1/9/87,1/5/88,243,0,,,,
Southend,David Webb,20/11/1988,8/5/92,1265,203,,,,
Southend,Colin Murphy,8/5/92,1/4/93,328,0,,,,
Southend,Barry Fry,1/4/93,10/12/93,253,0,,,,
Southend,Peter Taylor,10/12/93,22/02/1995,439,0,,,,
Southend,Steve Thompson,23/02/1995,5/6/95,102,1,,,,
Southend,Ronnie Whelan,6/7/95,1/7/97,726,31,,,,
Southend,Alvin Martin,15/07/1997,26/03/1999,619,14,,,,
Southend,Mick Gooding,26/03/1999,2/4/99,7,0,Y,Y,,
Southend,Alan Little,2/4/99,28/09/2000,545,0,,,,
Southend,Mick Gooding,28/09/2000,2/10/00,4,0,Y,Y,,
Southend,David Webb,2/10/00,4/10/01,367,0,,,,
Southend,Rob Newman,4/10/01,25/03/2003,537,0,,,,
Southend,Stewart Robson,25/03/2003,18/04/2003,24,0,Y,Y,,
Southend,Steve Wignall,18/04/2003,3/11/03,199,0,,,,
Southend,David Webb,3/11/03,20/11/2003,17,0,Y,Y,,
Southend,Steve Tilson,20/11/2003,4/7/10,2418,0,,,,
Southend,Paul Sturrock,5/7/10,24/03/2013,993,1,,,,
Southend,Phil Brown,25/03/2013,19/02/2019,2157,1,,,,
Southport,Willie Cunningham,13/03/1964,30/09/1965,566,,,,,Seemingly definitive list: http://www.southportfootballclub.co.uk/managerlist.php
Southport,Billy Bingham,1/10/65,1/2/68,853,1,,,Y,
Southport,Don McEvoy,1/2/68,17/01/1970,716,0,,,,
Southport,Arthur Peat,17/01/1970,28/04/1970,101,0,,,,
Southport,Alex Parker,8/5/70,1/6/71,389,10,,,,
Southport,Jimmy Meadows,1/6/71,30/12/1973,943,0,,,Y,
Southport,Alan Ball,1/1/74,28/02/1975,423,2,,,,
Southport,Jimmy Melia,1/3/75,1/10/75,214,1,,,,
Southport,Allan Brown,5/1/76,5/5/76,121,96,,,,Was there a caretaker beforehand?
Southport,Ray Henderson,1/6/76,1/3/77,273,27,,,,
Southport,Hugh Fisher,1/3/77,1/6/78,457,0,,,,
Southport,Harry McNally,19/08/1978,8/9/79,385,79,,,,Not in top 4 divisions - no need to be current
Stevenage,Paul Fairclough,27/05/2000,26/02/2002,640,,,,,
Stevenage,Wayne Turner,27/02/2002,1/2/03,339,1,,,Y,
Stevenage,Graham Westley,1/2/03,31/05/2006,1215,0,,,Y,
Stevenage,Mark Stimson,1/6/06,31/10/2007,517,1,,,Y,
Stevenage,Peter Taylor,2/11/07,31/05/2008,211,2,,,Y,
Stevenage,Graham Westley,1/6/08,12/1/12,1320,1,,,,
Stevenage,Gary Smith,25/01/2012,20/03/2013,420,13,,,,
Stevenage,Graham Westley,30/03/2013,31/05/2015,792,10,,,,
Stevenage,Teddy Sheringham,1/6/15,19/02/2019,1359,1,,,,
Stockport,Trevor Porteous,1/9/63,1/4/65,578,,,,Y,This has some dates: http://gogogocounty.org/people/managers.html
Stockport,Eddie Quigley,1/4/65,1/10/65,183,0,,,Y,
Stockport,Bert Trautmann,1/10/65,1/4/66,182,0,,,Y,
Stockport,Jimmy Meadows,1/10/66,1/4/69,913,183,,,Y,
Stockport,Walter Galbraith,1/8/69,1/4/70,243,122,,,Y,
Stockport,Matt Woods,1/4/70,1/12/71,609,0,,,Y,
Stockport,Brian Doyle,1/3/72,1/5/74,791,91,,,Y,
Stockport,Jimmy Meadows,1/5/74,5/8/75,461,0,,,Y,
Stockport,Eddie Hopkinson,5/8/75,31/08/1975,26,0,Y,Y,Y,
Stockport,Roy Chapman,31/08/1975,6/5/76,249,0,,,Y,
Stockport,Eddie Quigley,6/5/76,21/04/1977,350,0,,,Y,
Stockport,Alan Thompson,2/5/77,1/3/78,303,11,,,Y,
Stockport,Mike Summerbee,1/3/78,17/10/1979,595,0,,,,
Stockport,Jimmy McGuigan,13/11/1979,23/04/1982,892,27,,,,
Stockport,Eric Webster,23/04/1982,1/5/85,1104,0,,,,
Stockport,Colin Murphy,8/8/85,24/10/1985,77,99,,,,
Stockport,Les Chapman,24/10/1985,1/7/86,250,0,,,,
Stockport,Jimmy Melia,9/7/86,3/11/86,117,8,,,,
Stockport,Colin Murphy,3/11/86,26/05/1987,204,0,,,,
Stockport,Asa Hartford,12/6/87,1/4/89,659,17,,,,
Stockport,Danny Bergara,1/4/89,31/03/1995,2190,0,,,,
Stockport,Dave Jones,31/05/1995,23/06/1997,754,61,,,,
Stockport,Gary Megson,1/7/97,25/06/1999,724,8,,,,
Stockport,Andy Kilner,28/06/1999,29/10/2001,854,3,,,,
Stockport,Craig Madden,29/10/2001,6/11/01,8,0,Y,Y,,
Stockport,Carlton Palmer,6/11/01,18/09/2003,681,0,,,,
Stockport,John Hollins,18/09/2003,16/10/2003,28,0,Y,Y,,
Stockport,Sammy McIlroy,16/10/2003,25/11/2004,406,0,,,,
Stockport,Mark Lillis,25/11/2004,18/12/2004,23,0,Y,Y,,
Stockport,Chris Turner,19/12/2004,26/12/2005,372,1,,,,
Stockport,Jim Gannon,17/01/2006,6/5/09,1205,22,,,,
Stockport,Gary Ablett,9/7/09,17/06/2010,343,64,,,,
Stockport,Paul Simpson,12/7/10,4/1/11,176,25,,,,
Stockport,Peter Ward,4/1/11,9/3/11,64,0,Y,Y,,
Stockport,Ray Mathias,9/3/11,1/7/11,114,0,,,,
Stockport,Dietmar Hamann,1/7/11,7/11/11,129,0,,,,
Stockport,Jim Gannon,14/11/2011,16/01/2013,429,7,,,,Not in top 4 divisions - no need to be current
Stoke,Tony Waddington,1/6/60,22/03/1977,6138,,,,,
Stoke,George Eastham,22/03/1977,9/1/78,293,0,,,,
Stoke,Alan A'Court,9/1/78,13/02/1978,35,0,Y,Y,,
Stoke,Alan Durban,13/02/1978,1/6/81,1204,0,,,,
Stoke,Richie Barker,1/6/81,9/12/83,921,0,,,,
Stoke,Bill Asprey,9/12/83,15/04/1985,493,0,,,,
Stoke,Tony Lacey,16/04/1985,18/05/1985,32,1,Y,Y,,
Stoke,Mick Mills,24/06/1985,7/11/89,1597,37,,,,
Stoke,Alan Ball,7/11/89,1/2/91,451,0,,,,
Stoke,Graham Paddon,1/2/91,18/06/1991,137,0,,,,
Stoke,Lou Macari,18/06/1991,26/10/1993,861,0,,,,
Stoke,Joe Jordan,10/11/93,8/9/94,302,15,,,,
Stoke,Asa Hartford,8/9/94,29/09/1994,21,0,Y,Y,,
Stoke,Lou Macari,29/09/1994,1/7/97,1006,0,,,,
Stoke,Chic Bates,1/7/97,22/01/1998,205,0,,,,
Stoke,Chris Kamara,22/01/1998,8/4/98,76,0,,,,
Stoke,Alan Durban,8/4/98,13/05/1998,35,0,Y,Y,,
Stoke,Brian Little,13/05/1998,11/6/99,394,0,,,,
Stoke,Gary Megson,14/07/1999,15/11/1999,124,33,,,,
Stoke,Gudjon Thordarson,15/11/1999,15/05/2002,912,0,,,,
Stoke,Steve Cotterill,27/05/2002,10/10/02,136,12,,,,
Stoke,Dave Kevan,10/10/02,1/11/02,22,0,Y,Y,,
Stoke,Tony Pulis,1/11/02,28/06/2005,970,0,,,,
Stoke,Johan Boskamp,29/06/2005,1/5/06,306,1,,,,
Stoke,Tony Pulis,15/06/2006,21/05/2013,2532,45,,,,
Stoke,Mark Hughes,30/05/2013,19/02/2019,2091,9,,,,
Sunderland,Ian McColl,1/6/65,1/2/68,975,,,,Y,
Sunderland,Alan Brown,1/2/68,1/11/72,1735,0,,,Y,
Sunderland,Billy Elliott,1/11/72,23/11/1972,22,0,Y,Y,,
Sunderland,Bob Stokoe,23/11/1972,18/10/1976,1425,0,,,,
Sunderland,Ian MacFarlane,18/10/1976,1/12/76,44,0,Y,Y,,
Sunderland,Jimmy Adamson,1/12/76,25/10/1978,693,0,,,,
Sunderland,Dave Merrington,25/10/1978,13/12/1978,49,0,Y,Y,,
Sunderland,Billy Elliott,13/12/1978,24/05/1979,162,0,,,,
Sunderland,Ken Knighton,7/6/79,1/4/81,664,14,,,,
Sunderland,Mick Docherty,1/4/81,1/6/81,61,0,Y,Y,Y,
Sunderland,Alan Durban,1/6/81,2/3/84,1005,0,,,,
Sunderland,Pop Robson,2/3/84,4/3/84,2,0,Y,Y,,
Sunderland,Len Ashurst,4/3/84,23/05/1985,445,0,,,,
Sunderland,Lawrie McMenemy,8/6/85,16/04/1987,677,16,,,,
Sunderland,Bob Stokoe,16/04/1987,9/6/87,54,0,Y,Y,,
Sunderland,Denis Smith,9/6/87,30/12/1991,1665,0,,,,
Sunderland,Malcolm Crosby,30/12/1991,28/01/1993,395,0,,,,
Sunderland,Terry Butcher,29/01/1993,26/11/1993,301,1,,,,
Sunderland,Mick Buxton,26/11/1993,29/03/1995,488,0,,,,
Sunderland,Peter Reid,29/03/1995,7/10/02,2749,0,,,,
Sunderland,Howard Wilkinson,10/10/02,10/3/03,151,3,,,,
Sunderland,Mick McCarthy,12/3/03,6/3/06,1090,2,,,,
Sunderland,Kevin Ball,7/3/06,31/05/2006,85,1,Y,Y,,
Sunderland,Niall Quinn,25/07/2006,30/08/2006,36,55,,,,
Sunderland,Roy Keane,30/08/2006,4/12/08,827,0,,,,
Sunderland,Ricky Sbragia,5/12/08,24/05/2009,170,1,,,,
Sunderland,Steve Bruce,3/6/09,30/11/2011,910,10,,,,
Sunderland,Eric Black,30/11/2011,3/12/11,3,0,Y,Y,,
Sunderland,Martin O'Neill,3/12/11,30/03/2013,483,0,,,,
Sunderland,Paolo Di Canio,31/03/2013,22/09/2013,175,1,,,,
Sunderland,Kevin Ball,22/09/2013,8/10/13,16,0,Y,Y,,
Sunderland,Gus Poyet,8/10/13,16/03/2015,524,0,,,,
Sunderland,Dick Advocaat,17/03/2015,4/10/15,201,1,,,,
Sunderland,Sam Allardyce,9/10/15,19/02/2019,1229,5,,,,
Swansea,Glyn Davis,1/6/65,1/10/66,487,,,,,
Swansea,Billy Lucas,1/2/67,1/3/69,759,123,,,Y,Was there a caretaker beforehand?
Swansea,Roy Bentley,1/8/69,16/10/1972,1172,153,,,Y,Was there a caretaker beforehand?
Swansea,Harry Gregg,1/11/72,1/1/75,791,16,,,,
Swansea,Harry Griffiths,1/1/75,29/10/1977,1032,0,,,,
Swansea,Harry Griffiths,22/11/1977,1/2/78,71,24,,,Y,Not sure what went on here
Swansea,John Toshack,1/2/78,29/10/1983,2096,0,,,,
Swansea,Doug Livermore,29/10/1983,21/12/1983,53,0,Y,Y,,
Swansea,John Toshack,21/12/1983,4/3/84,74,0,,,,
Swansea,Les Chappell,4/3/84,16/05/1984,73,0,Y,Y,,
Swansea,Colin Appleton,16/05/1984,6/12/84,204,0,,,,
Swansea,John Bond,16/12/1984,20/12/1985,369,10,,,,
Swansea,Tommy Hutchison,21/12/1985,1/5/86,131,1,,,,
Swansea,Terry Yorath,12/7/86,2/2/89,936,72,,,,
Swansea,Ian Evans,27/02/1989,13/03/1990,379,25,,,,
Swansea,Terry Yorath,15/03/1990,21/03/1991,371,2,,,,
Swansea,Frank Burrows,23/03/1991,31/07/1995,1591,2,,,,
Swansea,Bobby Smith,1/8/95,20/12/1995,141,1,,,,
Swansea,Kevin Cullis,8/2/96,14/02/1996,6,50,,,,Apparently this was a permanent appointmentŠ—_
Swansea,Jimmy Rimmer,14/02/1996,22/02/1996,8,0,,,,Š—_and so was thisŠ—_
Swansea,Jan Molby,22/02/1996,8/10/97,594,0,,,,
Swansea,Micky Adams,9/10/97,22/10/1997,13,1,,,,Š—_and so was this.
Swansea,Alan Cork,22/10/1997,30/06/1998,251,0,,,,
Swansea,John Hollins,1/7/98,12/9/01,1169,1,,,,
Swansea,Colin Addison,13/09/2001,7/3/02,175,1,,,,
Swansea,Roger Freestone & Nick Cusack,8/3/02,19/09/2002,195,1,,,,
Swansea,Brian Flynn,19/09/2002,18/03/2004,546,0,,,,
Swansea,Alan Curtis,18/03/2004,5/4/04,18,0,Y,Y,,
Swansea,Kenny Jackett,5/4/04,15/02/2007,1046,0,,,,
Swansea,Kevin Nugent,15/02/2007,24/02/2007,9,0,Y,Y,,
Swansea,Roberto Martinez,24/02/2007,15/06/2009,842,0,,,,
Swansea,Paulo Sousa,22/06/2009,5/7/10,378,7,,,,
Swansea,Brendan Rodgers,16/07/2010,1/6/12,686,11,,,,
Swansea,Michael Laudrup,17/06/2012,4/2/14,597,16,,,,
Swansea,Garry Monk,4/2/14,19/02/2019,1841,0,,,,
Swindon,Bert Head,1/10/56,1/8/65,3226,,,,Y,
Swindon,Danny Williams,1/8/65,1/7/69,1430,0,,,Y,
Swindon,Fred Ford,1/7/69,31/05/1971,699,0,,,Y,
Swindon,Dave Mackay,31/05/1971,1/11/72,520,0,,,Y,
Swindon,Les Allen,10/11/72,28/02/1974,475,9,,,,
Swindon,Danny Williams,6/3/74,1/5/78,1517,6,,,,
Swindon,Bobby Smith,17/05/1978,31/10/1980,898,16,,,,
Swindon,John Trollope,1/11/80,1/3/83,850,1,,,Y,
Swindon,Ken Beamish,1/3/83,30/06/1984,487,0,,,Y,
Swindon,Lou Macari,23/07/1984,3/7/89,1806,23,,,,
Swindon,Ossie Ardiles,19/07/1989,31/03/1991,620,16,,,,
Swindon,Glenn Hoddle,4/4/91,4/6/93,792,4,,,,
Swindon,John Gorman,4/6/93,21/11/1994,535,0,,,,
Swindon,Steve McMahon,28/11/1994,23/09/1998,1395,7,,,,
Swindon,Jimmy Quinn,2/10/98,2/5/00,578,9,,,,
Swindon,Colin Todd,4/5/00,1/11/00,181,2,,,,
Swindon,Andy King,1/11/00,31/07/2001,272,0,,,,
Swindon,Roy Evans,3/8/01,20/12/2001,139,3,,,,
Swindon,Andy King,20/12/2001,26/09/2005,1376,0,,,,
Swindon,Iffy Onuora,26/09/2005,22/05/2006,238,0,,,,
Swindon,Dennis Wise,22/05/2006,24/10/2006,155,0,,,,
Swindon,Ady Williams,24/10/2006,7/11/06,14,0,Y,Y,,
Swindon,Paul Sturrock,7/11/06,27/11/2007,385,0,,,,
Swindon,David Byrne,27/11/2007,15/01/2008,49,0,Y,Y,,
Swindon,Maurice Malpas,15/01/2008,14/11/2008,304,0,,,,
Swindon,David Byrne,14/11/2008,26/12/2008,42,0,Y,Y,,
Swindon,Danny Wilson,26/12/2008,2/3/11,796,0,,,,
Swindon,Paul Hart,3/3/11,28/04/2011,56,1,,,,
Swindon,Paolo Di Canio,20/05/2011,18/02/2013,640,22,,,,
Swindon,Kevin MacDonald,28/02/2013,14/07/2013,136,10,,,,
Swindon,Mark Cooper,20/08/2013,17/10/2015,788,37,,,,
Swindon,Martin Ling,3/11/15,19/02/2019,1204,17,,,,
Torquay,Frank O'Farrell,1/5/65,31/12/1968,1340,,,,Y,
Torquay,Allan Brown,1/1/69,1/10/71,1003,1,,,Y,
Torquay,Jack Edwards,1/10/71,1/1/73,458,0,,,Y,
Torquay,Malcolm Musgrave,25/01/1973,1/11/76,1376,24,,,Y,
Torquay,Frank O'Farrell,28/11/1976,1/3/77,93,27,Y,N,Y,Caretaker but for a prolonged period
Torquay,Mike Green,1/3/77,31/05/1981,1552,0,,,Y,
Torquay,Frank O'Farrell,1/6/81,30/06/1982,394,1,,,Y,
Torquay,Bruce Rioch,1/7/82,14/01/1984,562,1,,,,
Torquay,Jimmy Hargreaves,16/01/1984,4/2/84,19,2,Y,Y,,
Torquay,David Webb,4/2/84,21/08/1985,564,0,,,,
Torquay,John Sims,21/08/1985,1/9/85,11,0,,,,
Torquay,Stuart Morgan,1/9/85,21/05/1987,627,0,,,,
Torquay,Cyril Knowles,22/06/1987,2/10/89,833,32,,,,
Torquay,Dave Smith,2/10/89,30/04/1991,575,0,,,,
Torquay,John Impey,1/5/91,8/10/91,160,1,,,,
Torquay,Wes Saunders,9/10/91,1/2/92,115,1,Y,N,,Caretaker but for a prolonged period
Torquay,Ivan Golac,1/2/92,1/5/92,90,0,,,,
Torquay,Paul Compton,8/5/92,15/02/1993,283,7,,,,
Torquay,Neil Warnock,15/02/1993,2/6/93,107,0,,,,
Torquay,Don O'Riordan,2/6/93,29/10/1995,879,0,,,,
Torquay,Paul Compton,29/10/1995,1/11/95,3,0,Y,Y,,
Torquay,Mick Buxton,1/11/95,17/11/1995,16,0,Y,Y,,
Torquay,Eddie May,17/11/1995,31/07/1996,257,0,,,,
Torquay,Kevin Hodges,1/8/96,1/7/98,699,1,,,,
Torquay,Wes Saunders,2/7/98,28/03/2001,1000,1,,,,
Torquay,Colin Lee,28/03/2001,2/7/01,96,0,Y,N,,Caretaker but for a prolonged period
Torquay,Roy McFarland,20/07/2001,23/04/2002,277,18,,,,
Torquay,Leroy Rosenior,9/5/02,25/01/2006,1357,16,,,,
Torquay,John Cornforth,25/01/2006,13/04/2006,78,0,,,,
Torquay,Ian Atkins,13/04/2006,4/12/06,235,0,,,,
Torquay,Lubos Kubik,4/12/06,6/2/07,64,0,,,,
